lat_cell,lon_cell,erc,fm100,fm1000,tmmx,vpd,vs
44.8,-111.3,27.783857,15.027005,17.983592,281.915739,0.528773,4.501115
44.8,-111.2,25.835336,15.865737,18.711147,282.989207,0.542898,4.510914
44.8,-111.1,25.917308,15.895191,18.688858,283.32982,0.555221,4.563872
44.8,-111.0,25.982376,15.549687,18.802972,282.475783,0.525883,4.650245
44.8,-110.9,26.912026,14.85332,18.672149,280.806243,0.493171,4.732659
44.8,-110.8,27.240068,14.817645,18.567667,281.028194,0.511152,4.849302
44.8,-110.7,27.919059,14.906199,18.091118,281.800733,0.524572,5.010594
44.8,-110.6,29.779026,14.250746,17.476455,280.618243,0.496971,5.242058
44.8,-110.5,30.493215,13.983038,17.262264,280.517075,0.49657,5.387416
44.8,-110.4,31.015694,13.947626,16.951388,281.189927,0.516217,5.387586
44.8,-110.3,31.997148,13.700661,16.594908,281.749564,0.53229,5.165922
44.8,-110.2,29.7988,14.025428,17.327743,280.493018,0.501557,4.988835
44.8,-110.1,33.336806,13.641112,16.01347,282.371413,0.556371,4.863155
44.8,-110.0,31.564328,13.554187,16.682064,280.881863,0.506105,4.753175
44.8,-109.9,30.489559,13.62848,17.132329,280.158474,0.490335,4.713023
44.8,-109.8,30.913586,13.810597,16.897621,281.293014,0.510243,4.874281
44.8,-109.7,35.109728,13.123111,15.659894,282.2994,0.554445,5.190324
44.8,-109.6,34.364063,13.24183,15.845317,282.022494,0.537987,4.560548
44.8,-109.5,36.459691,12.840501,15.200894,282.864613,0.587852,3.69942
44.8,-109.4,41.489019,11.909203,13.922494,284.997806,0.695822,3.167066
44.8,-109.3,42.47737,12.026467,13.790667,286.148682,0.77582,3.083582
44.8,-109.2,44.839333,12.32992,13.414882,288.39716,0.891187,3.261755
44.8,-109.1,44.653408,12.484586,13.497173,288.271094,0.885876,3.292672
44.8,-109.0,44.296061,12.708243,13.678731,288.064994,0.876994,3.275346
44.8,-108.9,45.846193,12.289879,13.293911,287.708695,0.871661,3.250328
44.8,-108.8,44.554049,12.855889,13.697053,287.661251,0.863233,3.13844
44.8,-108.7,42.109924,13.608266,14.386832,287.990911,0.860975,2.883166
44.8,-108.6,43.342638,13.382441,14.105127,288.293046,0.895054,2.633376
44.8,-108.5,42.834645,13.494494,14.247458,288.286036,0.893067,2.428399
44.8,-108.4,42.767202,13.457019,14.263807,288.131701,0.884358,2.340077
44.8,-108.3,44.263584,12.933459,13.818363,288.049343,0.893759,2.457106
44.8,-108.2,43.526977,13.162294,14.031108,288.650461,0.935515,2.618473
44.8,-108.1,42.637478,13.147325,14.10035,288.343119,0.889613,2.819271
44.8,-108.0,44.052931,11.612638,13.421159,284.991908,0.729986,3.031664
44.8,-107.9,38.709069,12.306227,14.782964,281.13466,0.571298,3.25013
44.8,-107.8,35.103544,13.018098,15.742547,279.562466,0.502406,3.730519
44.8,-107.7,33.469719,13.631211,16.12124,279.727585,0.480583,4.35284
44.8,-107.6,31.964151,14.246174,16.569491,280.934154,0.50097,4.720417
44.8,-107.5,33.066395,14.078841,16.227265,281.824277,0.526376,4.71227
44.8,-107.4,35.508414,13.263068,15.596479,282.242658,0.565427,4.552634
44.8,-107.3,35.982679,13.461988,15.397524,284.419714,0.642709,4.42824
44.8,-107.2,32.831379,14.74787,16.335818,287.510614,0.732841,4.377748
44.8,-107.1,32.320256,14.964696,16.518358,287.9738,0.747245,4.402516
44.8,-107.0,33.68092,14.961371,16.34779,288.347807,0.785236,4.449841
44.8,-106.9,33.513508,15.104567,16.482584,288.448295,0.787275,4.49179
44.8,-106.8,34.178419,14.899786,16.313684,288.434487,0.800541,4.498677
44.8,-106.7,35.857457,14.35626,15.81123,288.258987,0.810711,4.210529
44.8,-106.6,37.933062,13.765463,15.242555,288.013397,0.812684,3.91079
44.8,-106.5,40.422367,13.103982,14.555176,288.147924,0.84782,3.710064
44.8,-106.4,40.87092,12.932699,14.359793,288.461369,0.889838,3.620814
44.8,-106.3,39.696244,13.419955,14.808053,288.795545,0.902691,3.600792
44.8,-106.2,37.604031,14.053559,15.387911,289.089461,0.902797,3.602546
44.8,-106.1,37.595122,14.098767,15.412567,289.120496,0.910029,3.6271
44.8,-106.0,38.277063,13.825388,15.1958,288.852889,0.894451,3.649424
44.8,-105.9,36.928764,14.079434,15.508011,288.693593,0.868151,3.646872
44.8,-105.8,35.609174,14.343039,15.864227,288.558705,0.850707,3.592497
44.8,-105.7,35.274677,14.340216,15.96764,288.47436,0.843186,3.539987
44.8,-105.6,35.940106,14.101751,15.690968,288.480026,0.847738,3.492948
44.8,-105.5,37.056816,13.900162,15.426875,288.534784,0.857452,3.490878
44.8,-105.4,36.090915,14.288821,15.745588,288.936179,0.876071,3.51599
44.8,-105.3,34.053841,14.842586,16.292701,288.90887,0.836726,3.554243
44.8,-105.2,33.275091,14.89179,16.450974,288.44227,0.795085,3.599888
44.8,-105.1,32.133589,14.921864,16.575517,287.942683,0.765443,3.71855
44.8,-105.0,30.762855,15.340881,16.930714,288.059209,0.754382,3.906456
44.8,-104.9,30.491206,15.447801,16.993476,288.186596,0.758341,4.095321
44.8,-104.8,31.443172,15.146593,16.728858,288.072803,0.763405,4.34991
44.8,-104.7,31.806749,15.002657,16.62481,287.957756,0.757599,4.474692
44.8,-104.6,33.191827,14.566227,16.231524,287.767828,0.763564,4.414108
44.8,-104.5,32.997998,14.693228,16.303011,287.940097,0.76347,4.323018
44.8,-104.4,34.539025,14.209882,15.887324,287.602733,0.756864,4.259007
44.8,-104.3,35.402536,13.998025,15.661896,287.762226,0.775035,4.193157
44.8,-104.2,34.979452,14.378968,15.842878,288.264722,0.787833,4.152422
44.8,-104.1,35.432233,14.390686,15.80833,288.382463,0.79462,4.187327
44.8,-104.0,35.25611,14.428801,15.885541,288.48711,0.800496,4.291748
44.8,-103.9,35.228621,14.384708,15.887258,288.571933,0.808144,4.364768
44.8,-103.8,34.915732,14.43911,15.949253,288.706041,0.815787,4.300472
44.8,-103.7,34.685749,14.473523,15.974724,288.625201,0.814629,4.230316
44.8,-103.6,34.238814,14.629135,16.060123,288.377652,0.798337,4.169145
44.8,-103.5,34.409437,14.660579,16.020151,288.202407,0.789128,4.147526
44.8,-103.4,34.628338,14.65205,16.009573,288.14293,0.788066,4.157748
44.8,-103.3,34.437246,14.71737,16.076801,288.233862,0.791476,4.193265
44.8,-103.2,34.288967,14.713062,16.069379,288.244034,0.792224,4.230017
44.8,-103.1,34.492969,14.76975,16.105811,288.284123,0.796679,4.234774
44.8,-103.0,34.369475,14.815823,16.142614,288.311341,0.799008,4.196156
44.8,-102.9,34.566064,14.804859,16.1097,288.298981,0.801616,4.150798
44.8,-102.8,34.723073,14.77616,16.060877,288.319489,0.806309,4.113115
44.8,-102.7,34.311995,14.955614,16.234439,288.351563,0.81017,4.088848
44.8,-102.6,34.181925,14.977734,16.25682,288.328919,0.808858,4.062093
44.8,-102.5,34.186391,14.96178,16.258421,288.368786,0.812662,4.0381
44.8,-102.4,33.983336,14.991392,16.293741,288.396404,0.812958,4.022248
44.8,-102.3,33.919715,14.951811,16.2627,288.41168,0.818328,4.010519
44.8,-102.2,34.192584,14.863375,16.212255,288.396777,0.824129,4.017391
44.8,-102.1,34.083666,14.81824,16.185444,288.35107,0.823307,4.034756
44.8,-102.0,34.217229,14.750707,16.119964,288.334817,0.822767,4.056371
44.8,-101.9,34.4215,14.716039,16.088219,288.359254,0.826548,4.076674
44.8,-101.8,34.625889,14.630979,16.011624,288.313358,0.825528,4.118078
44.8,-101.7,34.677773,14.623719,16.005066,288.254576,0.820609,4.192578
44.8,-101.6,34.614371,14.646703,16.00705,288.131151,0.806896,4.303492
44.8,-101.5,34.490731,14.73252,16.047632,288.27779,0.812235,4.416093
44.8,-101.4,34.704358,14.661184,15.979675,288.366807,0.818841,4.472844
44.8,-101.3,34.025733,14.812221,16.139516,288.539233,0.821396,4.425587
44.8,-101.2,33.474928,14.938061,16.276697,288.539023,0.817925,4.371716
44.8,-101.1,33.019654,15.031194,16.373706,288.422961,0.808288,4.310481
44.8,-101.0,32.748671,15.099596,16.446823,288.649991,0.81629,4.235154
44.8,-100.9,32.568806,15.152528,16.492019,288.570809,0.808505,4.169183
44.8,-100.8,32.527902,15.163001,16.489392,288.497625,0.803029,4.094426
44.8,-100.7,32.780374,15.141432,16.436021,288.66627,0.810133,4.029433
44.8,-100.6,32.666905,15.144434,16.436548,288.563988,0.80697,4.064593
44.8,-100.5,32.482355,15.197221,16.512871,288.504978,0.805487,4.183702
44.8,-100.4,31.987646,15.289018,16.622419,288.059468,0.774975,4.31624
44.8,-100.3,31.496489,15.406333,16.746769,287.764481,0.750619,4.486822
44.8,-100.2,31.067848,15.516892,16.878997,287.646127,0.737278,4.603178
44.8,-100.1,30.984682,15.509949,16.865634,287.6143,0.736091,4.595695
44.8,-100.0,30.887802,15.568361,16.90797,287.57442,0.726965,4.559624
44.8,-99.9,30.617105,15.675533,16.997598,287.414495,0.712447,4.532589
44.8,-99.8,30.540238,15.717207,17.033143,287.250002,0.70483,4.480564
44.8,-99.7,30.640906,15.691047,17.004828,287.382968,0.713192,4.345108
44.8,-99.6,30.722834,15.703463,17.001272,287.488175,0.71499,4.229404
44.8,-99.5,30.854512,15.711272,16.995569,287.515125,0.719176,4.151823
